read1,read2,ns-diff
4235,4319,-176.402679
4298,4277,44.100670
4837,4305,1117.216965
4487,4284,426.306473
4228,5019,-1661.125224
4249,4312,-132.302009
4256,4298,-88.201339
4256,4270,-29.400446
4536,5012,-999.615179
4270,4319,-102.901563
4340,4291,102.901563
4270,4410,-294.004464
4256,4319,-132.302009
4242,4277,-73.501116
4207,4291,-176.402679
4263,4396,-279.304241
5047,4228,1719.926117
4270,4298,-58.800893
4221,4431,-441.006697
4487,4396,191.102902
4340,4256,176.402679
4277,4305,-58.800893
4214,4270,-117.601786
4396,4305,191.102902
4228,4326,-205.803125
4263,4305,-88.201339
4186,4277,-191.102902
4242,4326,-176.402679
4207,5061,-1793.427233
4221,4382,-338.105134
4214,4326,-235.203572
4312,4291,44.100670
4200,4263,-132.302009
4221,4263,-88.201339
4242,4284,-88.201339
4249,4277,-58.800893
4228,4291,-132.302009
4249,4298,-102.901563
4200,4312,-235.203572
4256,4277,-44.100670
4228,4319,-191.102902
4284,4312,-58.800893
4746,4298,940.814286
4242,4284,-88.201339
4277,4291,-29.400446
4627,4284,720.310938
4270,4214,117.601786
4389,4270,249.903795
4221,4312,-191.102902
4270,4375,-220.503348
4214,4249,-73.501116
4277,4298,-44.100670
4319,4347,-58.800893
8946,4263,9834.449335
4333,4319,29.400446
4305,4298,14.700223
4200,4319,-249.903795
4284,4291,-14.700223
4207,4228,-44.100670
4256,4277,-44.100670
4438,4277,338.105134
4291,4291,0.000000
4214,4291,-161.702455
4298,4823,-1102.516742
4179,4298,-249.903795
4291,4291,0.000000
4214,4277,-132.302009
4487,4298,396.906027
4200,4277,-161.702455
4263,4277,-29.400446
4242,4361,-249.903795
4256,4291,-73.501116
4543,4396,308.704688
4277,4291,-29.400446
4872,4284,1234.818751
4277,4326,-102.901563
4249,5180,-1955.129688
4494,4277,455.706920
4256,4312,-117.601786
4235,4242,-14.700223
4312,4970,-1381.820983
4214,4270,-117.601786
4193,4389,-411.606250
4235,4291,-117.601786
4347,4291,117.601786
4235,4270,-73.501116
4333,4312,44.100670
4501,4249,529.208036
4214,4305,-191.102902
4284,4298,-29.400446
4221,4326,-220.503348
4228,4256,-58.800893
4207,4389,-382.205804
4214,4263,-102.901563
4193,4256,-132.302009
4277,4305,-58.800893
4333,4389,-117.601786
4284,4277,14.700223
4543,4284,543.908259
4760,4333,896.713617
4333,4284,102.901563
4459,4256,426.306473
4207,4291,-176.402679
4501,4592,-191.102902
4214,4305,-191.102902
4277,4242,73.501116
4305,4291,29.400446
4249,4263,-29.400446
4235,4375,-294.004464
4256,4291,-73.501116
4228,4319,-191.102902
4284,4291,-14.700223
4221,4396,-367.505581
4606,4298,646.809822
4326,4375,-102.901563
4592,4270,676.210268
4235,4270,-73.501116
4809,4298,1073.116295
4235,4361,-264.604018
4256,4319,-132.302009
4228,4333,-220.503348
4263,4319,-117.601786
4242,4221,44.100670
4242,4284,-88.201339
4256,4256,0.000000
4508,4263,514.507813
4228,4305,-161.702455
4235,4319,-176.402679
4249,4312,-132.302009
4312,4326,-29.400446
4200,4298,-205.803125
4270,4305,-73.501116
4564,4403,338.105134
4214,4277,-132.302009
4263,4403,-294.004464
4249,4312,-132.302009
4235,4312,-161.702455
4249,4284,-73.501116
4200,4403,-426.306473
4242,4270,-58.800893
4214,4298,-176.402679
4620,4277,720.310938
4228,4305,-161.702455
4319,4284,73.501116
4207,4277,-147.002232
4305,4312,-14.700223
4186,4396,-441.006697
4452,4249,426.306473
4249,4298,-102.901563
4284,4305,-44.100670
4221,4312,-191.102902
4242,4256,-29.400446
5061,5110,-102.901563
4382,4305,161.702455
4340,4991,-1367.120760
4277,4256,44.100670
4249,4305,-117.601786
4263,4298,-73.501116
4207,4347,-294.004464
4522,4305,455.706920
4207,16261,-25313.784387
4242,4305,-132.302009
4207,4368,-338.105134
4354,4249,220.503348
4214,4515,-632.109599
4263,4284,-44.100670
4263,4291,-58.800893
4256,4305,-102.901563
4445,4326,249.903795
4508,4291,455.706920
4179,4277,-205.803125
4235,4389,-323.404911
4249,4368,-249.903795
4284,4501,-455.706920
4228,4305,-161.702455
4277,4312,-73.501116
4340,4326,29.400446
4256,4333,-161.702455
4452,4277,367.505581
4473,4410,132.302009
4347,4256,191.102902
4249,4319,-147.002232
4445,4298,308.704688
4291,4270,44.100670
4228,4305,-161.702455
4228,4291,-132.302009
4193,4403,-441.006697
4214,4284,-147.002232
4242,4298,-117.601786
4235,4298,-132.302009
4221,4403,-382.205804
4291,4312,-44.100670
4186,4305,-249.903795
4284,4298,-29.400446
4172,4319,-308.704688
4487,4277,441.006697
4200,4298,-205.803125
4228,4291,-132.302009
4186,4312,-264.604018
4256,4291,-73.501116
4207,4298,-191.102902
4256,4277,-44.100670
4200,4270,-147.002232
4249,4277,-58.800893
4242,4270,-58.800893
4256,4298,-88.201339
4326,4305,44.100670
4270,4270,0.000000
4200,4214,-29.400446
4270,4284,-29.400446
4207,4298,-191.102902
4228,4291,-132.302009
4214,4389,-367.505581
4291,4291,0.000000
4347,4291,117.601786
4256,4263,-14.700223
4221,4298,-161.702455
4298,4305,-14.700223
4221,4298,-161.702455
4214,4291,-161.702455
8967,4298,9805.048889
4907,4284,1308.319867
4207,4340,-279.304241
4494,4298,411.606250
4186,4291,-220.503348
4270,4277,-14.700223
4466,4291,367.505581
4249,4298,-102.901563
4214,4291,-161.702455
4641,4410,485.107366
4242,4298,-117.601786
4298,4298,0.000000
4361,4298,132.302009
4256,4291,-73.501116
4186,4305,-249.903795
4235,4270,-73.501116
4242,4284,-88.201339
4284,4410,-264.604018
4249,4333,-176.402679
4508,4298,441.006697
4221,4291,-147.002232
4256,4326,-147.002232
4319,4396,-161.702455
4613,4298,661.510045
4214,4284,-147.002232
